Indicator,Country,Date,value
"Cumulative number of probable Ebola deaths",Nigeria,2014-10-15,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2014-10-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-15,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2014-10-15,0.0
"Cumulative number of probable Ebola deaths",Senegal,2014-10-15,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2014-10-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-15,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2014-10-15,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-15,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2014-10-15,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2014-10-15,1.0
"Cumulative number of confirmed Ebola cases",Guinea,2014-10-17,1217.0
"Cumulative number of probable Ebola cases",Guinea,2014-10-17,191.0
"Cumulative number of suspected Ebola cases",Guinea,2014-10-17,111.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-17,1519.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-10-17,4262.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2014-10-17,2977.0
"Cumulative number of probable Ebola cases","Sierra Leone",2014-10-17,37.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2014-10-17,396.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-10-17,3410.0
"Cumulative number of confirmed Ebola cases",Nigeria,2014-10-17,19.0
"Cumulative number of probable Ebola cases",Nigeria,2014-10-17,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2014-10-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-10-17,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2014-10-17,1.0
"Cumulative number of probable Ebola cases",Senegal,2014-10-17,0.0
"Cumulative number of suspected Ebola cases",Senegal,2014-10-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-17,1.0
"Cumulative number of confirmed Ebola cases",Spain,2014-10-17,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-10-17,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2014-10-17,3.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2014-10-17,3.0
"Cumulative number of confirmed Ebola deaths",Guinea,2014-10-17,671.0
"Cumulative number of probable Ebola deaths",Guinea,2014-10-17,191.0
"Cumulative number of suspected Ebola deaths",Guinea,2014-10-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-10-17,862.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-10-17,2484.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2014-10-17,932.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2014-10-17,161.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2014-10-17,107.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2014-10-17,1200.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2014-10-17,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2014-10-17,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2014-10-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-17,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2014-10-17,0.0
"Cumulative number of probable Ebola deaths",Senegal,2014-10-17,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2014-10-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-17,0.0
"Cumulative number of confirmed Ebola deaths",Spain,2014-10-17,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-17,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2014-10-17,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2014-10-17,1.0
"Cumulative number of confirmed Ebola cases",Guinea,2014-10-22,1289.0
"Cumulative number of probable Ebola cases",Guinea,2014-10-22,193.0
"Cumulative number of suspected Ebola cases",Guinea,2014-10-22,58.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-22,1540.0
"Cumulative number of confirmed Ebola cases",Liberia,2014-10-22,965.0
"Cumulative number of probable Ebola cases",Liberia,2014-10-22,2106.0
"Cumulative number of suspected Ebola cases",Liberia,2014-10-22,1594.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-10-22,4665.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2014-10-22,3223.0
"Cumulative number of probable Ebola cases","Sierra Leone",2014-10-22,37.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2014-10-22,446.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-10-22,3706.0
"Cumulative number of confirmed Ebola cases",Spain,2014-10-22,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-10-22,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2014-10-22,3.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2014-10-22,3.0
"Cumulative number of confirmed Ebola cases",Nigeria,2014-10-22,19.0
"Cumulative number of probable Ebola cases",Nigeria,2014-10-22,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2014-10-22,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-10-22,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2014-10-22,1.0
"Cumulative number of probable Ebola cases",Senegal,2014-10-22,0.0
"Cumulative number of suspected Ebola cases",Senegal,2014-10-22,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-22,1.0
"Number of confirmed Ebola cases in the last 7 days",Guinea,2014-10-22,106.0
"Number of probable Ebola cases in the last 7 days",Guinea,2014-10-22,3.0
"Number of suspected Ebola cases in the last 7 days",Guinea,2014-10-22,0.0
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Guinea,2014-10-22,109.0
"Number of confirmed Ebola cases in the last 7 days",Liberia,2014-10-22,17.0
"Number of probable Ebola cases in the last 7 days",Liberia,2014-10-22,185.0
"Number of suspected Ebola cases in the last 7 days",Liberia,2014-10-22,211.0
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Liberia,2014-10-22,413.0
"Number of confirmed Ebola cases in the last 7 days","Sierra Leone",2014-10-22,374.0
"Number of probable Ebola cases in the last 7 days","Sierra Leone",2014-10-22,0.0
"Number of suspected Ebola cases in the last 7 days","Sierra Leone",2014-10-22,80.0
"Number of confirmed, probable and suspected Ebola cases in the last 7 days","Sierra Leone",2014-10-22,454.0
"Proportion of confirmed Ebola cases that are from the last 7 days",Guinea,2014-10-22,8.0
"Proportion of probable Ebola cases that are from the last 7 days",Guinea,2014-10-22,2.0
"Proportion of suspected Ebola cases that are from the last 7 days",Guinea,2014-10-22,0.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Guinea,2014-10-22,7.0
"Proportion of confirmed Ebola cases that are from the last 7 days",Liberia,2014-10-22,2.0
"Proportion of probable Ebola cases that are from the last 7 days",Liberia,2014-10-22,9.0
"Proportion of suspected Ebola cases that are from the last 7 days",Liberia,2014-10-22,13.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Liberia,2014-10-22,9.0
"Proportion of confirmed Ebola cases that are from the last 7 days","Sierra Leone",2014-10-22,12.0
"Proportion of probable Ebola cases that are from the last 7 days","Sierra Leone",2014-10-22,0.0
"Proportion of suspected Ebola cases that are from the last 7 days","Sierra Leone",2014-10-22,18.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days","Sierra Leone",2014-10-22,12.0
"Cumulative number of confirmed Ebola deaths",Guinea,2014-10-22,710.0
"Cumulative number of probable Ebola deaths",Guinea,2014-10-22,193.0
"Cumulative number of suspected Ebola deaths",Guinea,2014-10-22,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-10-22,904.0
"Cumulative number of confirmed Ebola deaths",Liberia,2014-10-22,1241.0
"Cumulative number of probable Ebola deaths",Liberia,2014-10-22,803.0
"Cumulative number of suspected Ebola deaths",Liberia,2014-10-22,661.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-10-22,2705.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2014-10-22,986.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2014-10-22,164.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2014-10-22,109.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2014-10-22,1259.0
"Cumulative number of confirmed Ebola deaths",Spain,2014-10-22,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-22,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2014-10-22,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2014-10-22,1.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2014-10-22,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2014-10-22,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2014-10-22,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-22,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2014-10-22,0.0
"Cumulative number of probable Ebola deaths",Senegal,2014-10-22,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2014-10-22,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-22,0.0
"Cumulative number of confirmed Ebola cases",Guinea,2014-10-25,1312.0
"Cumulative number of probable Ebola cases",Guinea,2014-10-25,194.0
"Cumulative number of suspected Ebola cases",Guinea,2014-10-25,47.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-25,1553.0
"Cumulative number of confirmed Ebola cases",Liberia,2014-10-25,965.0
"Cumulative number of probable Ebola cases",Liberia,2014-10-25,2106.0
"Cumulative number of suspected Ebola cases",Liberia,2014-10-25,1594.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-10-25,4665.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2014-10-25,3389.0
"Cumulative number of probable Ebola cases","Sierra Leone",2014-10-25,37.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2014-10-25,470.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-10-25,3896.0
"Cumulative number of confirmed Ebola cases",Mali,2014-10-25,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-10-25,1.0
"Cumulative number of confirmed Ebola cases",Spain,2014-10-25,1.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-10-25,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2014-10-25,4.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2014-10-25,4.0
"Cumulative number of confirmed Ebola cases",Nigeria,2014-10-25,19.0
"Cumulative number of probable Ebola cases",Nigeria,2014-10-25,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2014-10-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-10-25,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2014-10-25,1.0
"Cumulative number of probable Ebola cases",Senegal,2014-10-25,0.0
"Cumulative number of suspected Ebola cases",Senegal,2014-10-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-25,1.0
"Cumulative number of confirmed Ebola deaths",Guinea,2014-10-25,732.0
"Cumulative number of probable Ebola deaths",Guinea,2014-10-25,194.0
"Cumulative number of suspected Ebola deaths",Guinea,2014-10-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-10-25,926.0
"Cumulative number of confirmed Ebola deaths",Liberia,2014-10-25,1241.0
"Cumulative number of probable Ebola deaths",Liberia,2014-10-25,803.0
"Cumulative number of suspected Ebola deaths",Liberia,2014-10-25,661.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-10-25,2705.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2014-10-25,1008.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2014-10-25,164.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2014-10-25,109.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2014-10-25,1281.0
"Cumulative number of confirmed Ebola deaths",Mali,2014-10-25,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-10-25,1.0
"Cumulative number of confirmed Ebola deaths",Spain,2014-10-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-25,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2014-10-25,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2014-10-25,1.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2014-10-25,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2014-10-25,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2014-10-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-25,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2014-10-25,0.0
"Cumulative number of probable Ebola deaths",Senegal,2014-10-25,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2014-10-25,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-25,0.0
"Cumulative number of confirmed Ebola cases",Guinea,2014-10-29,1391.0
"Cumulative number of probable Ebola cases",Guinea,2014-10-29,199.0
"Cumulative number of suspected Ebola cases",Guinea,2014-10-29,316.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-29,1906.0
"Cumulative number of confirmed Ebola cases",Liberia,2014-10-29,2515.0
"Cumulative number of probable Ebola cases",Liberia,2014-10-29,1540.0
"Cumulative number of suspected Ebola cases",Liberia,2014-10-29,2480.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-10-29,6535.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2014-10-29,3700.0
"Cumulative number of probable Ebola cases","Sierra Leone",2014-10-29,322.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2014-10-29,1213.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-10-29,5235.0
"Cumulative number of confirmed Ebola cases",Mali,2014-10-29,1.0
"Cumulative number of probable Ebola cases",Mali,2014-10-29,0.0
"Cumulative number of suspected Ebola cases",Mali,2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-10-29,1.0
"Cumulative number of confirmed Ebola cases",Spain,2014-10-29,1.0
"Cumulative number of probable Ebola cases",Spain,2014-10-29,0.0
"Cumulative number of suspected Ebola cases",Spain,2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-10-29,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2014-10-29,4.0
"Cumulative number of probable Ebola cases","United States of America",2014-10-29,0.0
"Cumulative number of suspected Ebola cases","United States of America",2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2014-10-29,4.0
"Cumulative number of confirmed Ebola cases",Nigeria,2014-10-29,19.0
"Cumulative number of probable Ebola cases",Nigeria,2014-10-29,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-10-29,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2014-10-29,1.0
"Cumulative number of probable Ebola cases",Senegal,2014-10-29,0.0
"Cumulative number of suspected Ebola cases",Senegal,2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-29,1.0
"Number of confirmed Ebola cases in the last 7 days",Guinea,2014-10-29,332.0
"Number of probable Ebola cases in the last 7 days",Guinea,2014-10-29,19.0
"Number of suspected Ebola cases in the last 7 days",Guinea,2014-10-29,315.0
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Guinea,2014-10-29,666.0
"Number of confirmed Ebola cases in the last 7 days",Liberia,2014-10-29,35.0
"Number of probable Ebola cases in the last 7 days",Liberia,2014-10-29,363.0
"Number of suspected Ebola cases in the last 7 days",Liberia,2014-10-29,469.0
"Number of confirmed, probable and suspected Ebola cases in the last 7 days",Liberia,2014-10-29,867.0
"Number of confirmed Ebola cases in the last 7 days","Sierra Leone",2014-10-29,1187.0
"Number of probable Ebola cases in the last 7 days","Sierra Leone",2014-10-29,14.0
"Number of suspected Ebola cases in the last 7 days","Sierra Leone",2014-10-29,232.0
"Number of confirmed, probable and suspected Ebola cases in the last 7 days","Sierra Leone",2014-10-29,1433.0
"Proportion of confirmed Ebola cases that are from the last 7 days",Guinea,2014-10-29,24.0
"Proportion of probable Ebola cases that are from the last 7 days",Guinea,2014-10-29,10.0
"Proportion of suspected Ebola cases that are from the last 7 days",Guinea,2014-10-29,100.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Guinea,2014-10-29,35.0
"Proportion of confirmed Ebola cases that are from the last 7 days",Liberia,2014-10-29,1.0
"Proportion of probable Ebola cases that are from the last 7 days",Liberia,2014-10-29,24.0
"Proportion of suspected Ebola cases that are from the last 7 days",Liberia,2014-10-29,19.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days",Liberia,2014-10-29,13.0
"Proportion of confirmed Ebola cases that are from the last 7 days","Sierra Leone",2014-10-29,32.0
"Proportion of probable Ebola cases that are from the last 7 days","Sierra Leone",2014-10-29,4.0
"Proportion of suspected Ebola cases that are from the last 7 days","Sierra Leone",2014-10-29,19.0
"Proportion of confirmed, probable and suspected Ebola cases that are from the last 7 days","Sierra Leone",2014-10-29,27.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-10-29,997.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-10-29,2413.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2014-10-29,1500.0
"Cumulative number of confirmed Ebola deaths",Mali,2014-10-29,1.0
"Cumulative number of probable Ebola deaths",Mali,2014-10-29,0.0
"Cumulative number of suspected Ebola deaths",Mali,2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-10-29,1.0
"Cumulative number of confirmed Ebola deaths",Spain,2014-10-29,0.0
"Cumulative number of probable Ebola deaths",Spain,2014-10-29,0.0
"Cumulative number of suspected Ebola deaths",Spain,2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-29,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2014-10-29,1.0
"Cumulative number of probable Ebola deaths","United States of America",2014-10-29,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2014-10-29,1.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2014-10-29,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2014-10-29,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-29,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2014-10-29,0.0
"Cumulative number of probable Ebola deaths",Senegal,2014-10-29,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2014-10-29,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-29,0.0
"Cumulative number of confirmed Ebola cases",Guinea,2014-10-31,1409.0
"Cumulative number of probable Ebola cases",Guinea,2014-10-31,204.0
"Cumulative number of suspected Ebola cases",Guinea,2014-10-31,54.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-10-31,1667.0
"Cumulative number of confirmed Ebola cases",Liberia,2014-10-31,2515.0
"Cumulative number of probable Ebola cases",Liberia,2014-10-31,1540.0
"Cumulative number of suspected Ebola cases",Liberia,2014-10-31,2480.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-10-31,6535.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2014-10-31,3778.0
"Cumulative number of probable Ebola cases","Sierra Leone",2014-10-31,322.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2014-10-31,1238.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-10-31,5338.0
"Cumulative number of confirmed Ebola cases",Mali,2014-10-31,1.0
"Cumulative number of probable Ebola cases",Mali,2014-10-31,0.0
"Cumulative number of suspected Ebola cases",Mali,2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-10-31,1.0
"Cumulative number of confirmed Ebola cases",Spain,2014-10-31,1.0
"Cumulative number of probable Ebola cases",Spain,2014-10-31,0.0
"Cumulative number of suspected Ebola cases",Spain,2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-10-31,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2014-10-31,4.0
"Cumulative number of probable Ebola cases","United States of America",2014-10-31,0.0
"Cumulative number of suspected Ebola cases","United States of America",2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2014-10-31,4.0
"Cumulative number of confirmed Ebola cases",Nigeria,2014-10-31,19.0
"Cumulative number of probable Ebola cases",Nigeria,2014-10-31,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-10-31,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2014-10-31,1.0
"Cumulative number of probable Ebola cases",Senegal,2014-10-31,0.0
"Cumulative number of suspected Ebola cases",Senegal,2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-10-31,1.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-10-31,1018.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-10-31,2413.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2014-10-31,1510.0
"Cumulative number of confirmed Ebola deaths",Mali,2014-10-31,1.0
"Cumulative number of probable Ebola deaths",Mali,2014-10-31,0.0
"Cumulative number of suspected Ebola deaths",Mali,2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-10-31,1.0
"Cumulative number of confirmed Ebola deaths",Spain,2014-10-31,0.0
"Cumulative number of probable Ebola deaths",Spain,2014-10-31,0.0
"Cumulative number of suspected Ebola deaths",Spain,2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,2014-10-31,0.0
"Cumulative number of confirmed Ebola deaths","United States of America",2014-10-31,1.0
"Cumulative number of probable Ebola deaths","United States of America",2014-10-31,0.0
"Cumulative number of suspected Ebola deaths","United States of America",2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","United States of America",2014-10-31,1.0
"Cumulative number of confirmed Ebola deaths",Nigeria,2014-10-31,7.0
"Cumulative number of probable Ebola deaths",Nigeria,2014-10-31,1.0
"Cumulative number of suspected Ebola deaths",Nigeria,2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,2014-10-31,8.0
"Cumulative number of confirmed Ebola deaths",Senegal,2014-10-31,0.0
"Cumulative number of probable Ebola deaths",Senegal,2014-10-31,0.0
"Cumulative number of suspected Ebola deaths",Senegal,2014-10-31,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,2014-10-31,0.0
"Cumulative number of confirmed Ebola cases",Guinea,2014-11-05,1457.0
"Cumulative number of probable Ebola cases",Guinea,2014-11-05,204.0
"Cumulative number of suspected Ebola cases",Guinea,2014-11-05,70.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,2014-11-05,1731.0
"Cumulative number of confirmed Ebola cases",Liberia,2014-11-05,2451.0
"Cumulative number of probable Ebola cases",Liberia,2014-11-05,1627.0
"Cumulative number of suspected Ebola cases",Liberia,2014-11-05,2447.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,2014-11-05,6525.0
"Cumulative number of confirmed Ebola cases","Sierra Leone",2014-11-05,4057.0
"Cumulative number of probable Ebola cases","Sierra Leone",2014-11-05,79.0
"Cumulative number of suspected Ebola cases","Sierra Leone",2014-11-05,623.0
"Cumulative number of confirmed, probable and suspected Ebola cases","Sierra Leone",2014-11-05,4759.0
"Cumulative number of confirmed Ebola cases",Mali,2014-11-05,1.0
"Cumulative number of probable Ebola cases",Mali,2014-11-05,0.0
"Cumulative number of suspected Ebola cases",Mali,2014-11-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,2014-11-05,1.0
"Cumulative number of confirmed Ebola cases",Spain,2014-11-05,1.0
"Cumulative number of probable Ebola cases",Spain,2014-11-05,0.0
"Cumulative number of suspected Ebola cases",Spain,2014-11-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,2014-11-05,1.0
"Cumulative number of confirmed Ebola cases","United States of America",2014-11-05,4.0
"Cumulative number of probable Ebola cases","United States of America",2014-11-05,0.0
"Cumulative number of suspected Ebola cases","United States of America",2014-11-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases","United States of America",2014-11-05,4.0
"Cumulative number of confirmed Ebola cases",Nigeria,2014-11-05,19.0
"Cumulative number of probable Ebola cases",Nigeria,2014-11-05,1.0
"Cumulative number of suspected Ebola cases",Nigeria,2014-11-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,2014-11-05,20.0
"Cumulative number of confirmed Ebola cases",Senegal,2014-11-05,1.0
"Cumulative number of probable Ebola cases",Senegal,2014-11-05,0.0
"Cumulative number of suspected Ebola cases",Senegal,2014-11-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,2014-11-05,1.0
"Number of confirmed Ebola cases in the last 21 days",Guinea,2014-11-05,247.0
"Number of probable Ebola cases in the last 21 days",Guinea,2014-11-05,9.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Guinea,2014-11-05,256.0
"Number of confirmed Ebola cases in the last 21 days",Liberia,2014-11-05,19.0
"Number of probable Ebola cases in the last 21 days",Liberia,2014-11-05,379.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days",Liberia,2014-11-05,398.0
"Number of confirmed Ebola cases in the last 21 days","Sierra Leone",2014-11-05,1160.0
"Number of probable Ebola cases in the last 21 days","Sierra Leone",2014-11-05,14.0
"Number of confirmed, probable and suspected Ebola cases in the last 21 days","Sierra Leone",2014-11-05,1174.0
"Cumulative number of confirmed Ebola deaths",Guinea,2014-11-05,837.0
"Cumulative number of probable Ebola deaths",Guinea,2014-11-05,204.0
"Cumulative number of suspected Ebola deaths",Guinea,2014-11-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,2014-11-05,1041.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,2014-11-05,2697.0
"Cumulative number of confirmed Ebola deaths","Sierra Leone",2014-11-05,893.0
"Cumulative number of probable Ebola deaths","Sierra Leone",2014-11-05,142.0
"Cumulative number of suspected Ebola deaths","Sierra Leone",2014-11-05,35.0
"Cumulative number of confirmed, probable and suspected Ebola deaths","Sierra Leone",2014-11-05,1070.0
"Cumulative number of confirmed Ebola deaths",Mali,2014-11-05,1.0
"Cumulative number of probable Ebola deaths",Mali,2014-11-05,0.0
"Cumulative number of suspected Ebola deaths",Mali,2014-11-05,0.0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,2014-11-05,1.0
"Cumulative number of confirmed Ebola deaths",Spain,2014-11-05,0.0
